PWG\PW	TRIGLSYN-PWY	PWY-6949	PWY-735	PWY-1001	PWY-2501
ZM00001D000116	0	0	0	0	1
ZM00001D003142	0	1	0	0	0
ZM00001D003144	0	1	0	0	0
ZM00001D003533	0	0	1	0	0
ZM00001D003584	0	0	1	0	0
ZM00001D003676	0	0	0	1	0
ZM00001D003983	0	0	0	0	1
ZM00001D004731	0	0	0	0	1
ZM00001D005174	0	1	0	0	0
ZM00001D005250	0	0	0	1	0
ZM00001D005451	0	0	0	1	0
ZM00001D005456	0	1	0	0	0
ZM00001D005478	0	0	0	1	0
ZM00001D005579	1	0	0	0	0
ZM00001D005775	0	0	0	1	0
ZM00001D005818	0	0	0	0	1
ZM00001D006153	1	0	0	0	0
ZM00001D006797	1	0	0	0	0
ZM00001D007638	1	0	0	0	0
ZM00001D007714	1	0	0	0	0
ZM00001D008592	1	0	0	0	0
ZM00001D009795	0	0	0	1	0
ZM00001D010078	1	0	0	0	0
ZM00001D010520	1	0	0	0	0
ZM00001D011430	1	0	0	0	0
ZM00001D012144	0	0	1	0	0
ZM00001D012744	0	0	0	1	0
ZM00001D013046	1	0	0	0	0
ZM00001D013935	1	0	0	0	0
ZM00001D014425	1	0	0	0	0
ZM00001D015852	0	0	1	0	0
ZM00001D017418	0	0	0	0	1
ZM00001D017767	1	0	0	0	0
ZM00001D017895	0	0	0	1	0
ZM00001D018969	0	1	0	0	0
ZM00001D019149	0	0	0	1	0
ZM00001D019250	0	1	0	0	0
ZM00001D019251	0	1	0	0	0
ZM00001D019254	0	1	0	0	0
ZM00001D019259	0	1	0	0	0
ZM00001D019265	0	1	0	0	0
ZM00001D019317	0	0	0	1	0
ZM00001D019507	0	0	0	1	0
ZM00001D019957	0	0	1	0	0
ZM00001D020040	1	0	0	0	0
ZM00001D020531	0	0	0	1	0
ZM00001D020647	1	0	0	0	0
ZM00001D020852	0	0	0	1	0
ZM00001D021675	1	0	0	0	0
ZM00001D022554	0	0	0	0	1
ZM00001D023580	0	0	0	0	1
ZM00001D023724	0	1	0	0	0
ZM00001D024515	0	1	0	0	0
ZM00001D024702	0	1	0	0	0
ZM00001D024765	1	0	0	0	0
ZM00001D025200	0	1	0	0	0
ZM00001D025524	0	0	1	0	0
ZM00001D025958	0	0	0	0	1
ZM00001D027519	0	0	1	0	0
ZM00001D027810	1	0	0	0	0
ZM00001D027893	0	0	1	0	0
ZM00001D028731	1	0	0	0	0
ZM00001D029184	0	1	0	0	0
ZM00001D029594	0	0	1	0	0
ZM00001D030117	1	0	0	0	0
ZM00001D030132	0	0	1	0	0
ZM00001D031209	0	1	0	0	0
ZM00001D031449	0	0	1	0	0
ZM00001D032049	0	0	1	0	0
ZM00001D032379	1	0	0	0	0
ZM00001D032776	0	0	0	1	0
ZM00001D032973	1	0	0	0	0
ZM00001D033055	0	0	1	0	0
ZM00001D034452	0	1	0	0	0
ZM00001D034453	0	1	0	0	0
ZM00001D034460	0	1	0	0	0
ZM00001D034461	0	1	0	0	0
ZM00001D034518	1	0	0	0	0
ZM00001D034553	0	0	0	1	0
ZM00001D034692	0	1	0	0	0
ZM00001D034732	1	0	0	0	0
ZM00001D034770	0	0	0	1	0
ZM00001D034986	0	1	0	0	0
ZM00001D035013	0	1	0	0	0
ZM00001D035178	0	1	0	0	0
ZM00001D035854	0	0	0	0	1
ZM00001D036933	0	0	0	0	1
ZM00001D036982	1	0	0	0	0
ZM00001D037182	0	0	1	0	0
ZM00001D037636	0	0	0	1	0
ZM00001D037760	1	0	0	0	0
ZM00001D038366	1	0	0	0	0
ZM00001D038389	1	0	0	0	0
ZM00001D038620	1	0	0	0	0
ZM00001D038908	1	0	0	0	0
ZM00001D038959	1	0	0	0	0
ZM00001D039660	0	0	0	1	0
ZM00001D040265	1	0	0	0	0
ZM00001D040842	0	0	1	0	0
ZM00001D041972	0	0	0	1	0
ZM00001D042813	1	0	0	0	0
ZM00001D043267	1	0	0	0	0
ZM00001D043477	0	0	0	1	0
ZM00001D043853	1	0	0	0	0
ZM00001D044136	1	0	0	0	0
ZM00001D044339	0	0	0	0	1
ZM00001D044906	0	0	1	0	0
ZM00001D044908	0	0	1	0	0
ZM00001D045251	0	0	1	0	0
ZM00001D045606	0	0	1	0	0
ZM00001D045927	1	0	0	0	0
ZM00001D046676	0	1	0	0	0
ZM00001D046691	0	0	0	1	0
ZM00001D047340	0	0	1	0	0
ZM00001D047666	1	0	0	0	0
ZM00001D048089	0	0	0	1	0
ZM00001D048702	0	1	0	0	0
ZM00001D048703	0	1	0	0	0
ZM00001D048705	0	1	0	0	0
ZM00001D048707	0	1	0	0	0
ZM00001D048709	0	1	0	0	0
ZM00001D048710	0	1	0	0	0
ZM00001D048766	1	0	0	0	0
ZM00001D048835	1	0	0	0	0
ZM00001D049610	0	1	0	0	0
ZM00001D050107	0	0	1	0	0
ZM00001D050495	0	0	0	0	1
ZM00001D051561	1	0	0	0	0
ZM00001D051628	1	0	0	0	0
ZM00001D051877	0	0	1	0	0
ZM00001D053675	0	0	1	0	0
