Sample\PWG	Zm00001d000116	Zm00001d003142	Zm00001d003144	Zm00001d003533	Zm00001d003584	Zm00001d003676	Zm00001d003983	Zm00001d004731	Zm00001d005174	Zm00001d005250	Zm00001d005451	Zm00001d005456	Zm00001d005478	Zm00001d005579	Zm00001d005775	Zm00001d005818	Zm00001d006153	Zm00001d006797	Zm00001d007638	Zm00001d007714	Zm00001d008592	Zm00001d009795	Zm00001d010078	Zm00001d010520	Zm00001d011430	Zm00001d012144	Zm00001d012744	Zm00001d013046	Zm00001d013935	Zm00001d014425	Zm00001d015852	Zm00001d017418	Zm00001d017767	Zm00001d017895	Zm00001d018969	Zm00001d019149	Zm00001d019250	Zm00001d019251	Zm00001d019254	Zm00001d019259	Zm00001d019265	Zm00001d019317	Zm00001d019507	Zm00001d019957	Zm00001d020040	Zm00001d020531	Zm00001d020647	Zm00001d020852	Zm00001d021675	Zm00001d022554	Zm00001d023580	Zm00001d023724	Zm00001d024515	Zm00001d024702	Zm00001d024765	Zm00001d025200	Zm00001d025524	Zm00001d025958	Zm00001d027519	Zm00001d027810	Zm00001d027893	Zm00001d028731	Zm00001d029184	Zm00001d029594	Zm00001d030117	Zm00001d030132	Zm00001d031209	Zm00001d031449	Zm00001d032049	Zm00001d032379	Zm00001d032776	Zm00001d032973	Zm00001d033055	Zm00001d034452	Zm00001d034453	Zm00001d034460	Zm00001d034461	Zm00001d034518	Zm00001d034553	Zm00001d034692	Zm00001d034732	Zm00001d034770	Zm00001d034986	Zm00001d035013	Zm00001d035178	Zm00001d035854	Zm00001d036933	Zm00001d036982	Zm00001d037182	Zm00001d037636	Zm00001d037760	Zm00001d038366	Zm00001d038389	Zm00001d038620	Zm00001d038908	Zm00001d038959	Zm00001d039660	Zm00001d040265	Zm00001d040842	Zm00001d041972	Zm00001d042813	Zm00001d043267	Zm00001d043477	Zm00001d043853	Zm00001d044136	Zm00001d044339	Zm00001d044906	Zm00001d044908	Zm00001d045251	Zm00001d045606	Zm00001d045927	Zm00001d046676	Zm00001d046691	Zm00001d047340	Zm00001d047666	Zm00001d048089	Zm00001d048702	Zm00001d048703	Zm00001d048705	Zm00001d048707	Zm00001d048709	Zm00001d048710	Zm00001d048766	Zm00001d048835	Zm00001d049610	Zm00001d050107	Zm00001d050495	Zm00001d051561	Zm00001d051628	Zm00001d051877	Zm00001d053675
ERR2096632	6472.63	0	0	1186.85	2557.24	2.04	515.93	585.27	10.2	6021.95	3776.72	0	3809.35	1986.24	20.39	3878.68	1199.09	823.86	1686.47	4.08	61.18	5185.85	0	53.02	4.08	583.23	4.08	246.75	2365.55	216.16	23783.95	1144.03	122.36	636.25	1097.12	1794.55	4.08	2.04	220.24	0	0	14786.71	3705.35	0	799.39	28.55	1833.3	2.04	901.36	1578.39	1823.1	1933.22	0	95.85	3472.87	2.04	10.2	30.59	491.46	0	1867.97	850.37	2.04	770.84	401.74	6.12	3058.9	2.04	511.86	2334.96	18.35	273.26	1101.2	721.9	405.81	1641.61	340.56	87.69	4425.21	12.24	34.67	15168.06	0	0	4.08	10.2	0	175.38	2.04	9851.69	909.51	8.16	1131.79	118.28	20.39	348.71	2190.17	2.04	711.7	30.59	705.59	1182.77	230.44	22.43	1023.71	8112.2	112.16	53.02	6919.23	75.45	348.71	1066.54	230.44	954.38	944.18	885.04	776.96	615.86	97.88	30.59	20.39	0	1331.64	3334.2	931.94	840.18	418.05	152.94	269.18	10.2	7027.31
ERR2096633	6417.36	0	4.2	1219.15	2568.63	2.1	645.31	542.31	16.82	6188.24	3918.1	4.2	3943.32	1893.89	18.92	3716.31	1193.93	737.8	1677.38	0	48.35	5465.16	0	37.84	6.31	544.41	0	300.58	2402.57	227.01	23926.9	1137.17	98.79	651.62	1130.87	1902.3	4.2	4.2	201.79	0	2.1	14959.83	3806.69	0	802.96	29.43	1874.97	8.41	960.61	1616.43	1866.56	1895.99	0	138.73	3300.12	0	8.41	44.14	483.46	0	1759.36	847.1	2.1	775.63	365.75	35.73	3186.61	0	451.93	2322.69	12.61	269.05	1065.71	718.88	367.85	1591.2	384.66	69.37	4447.8	12.61	50.45	15394.94	0	0	4.2	14.71	0	132.43	4.2	10177.81	1019.46	2.1	1233.87	147.14	16.82	357.34	2171.35	0	727.29	48.35	643.21	1097.24	224.91	6.31	1004.75	8338.57	100.9	71.47	7104.71	73.57	315.3	1036.28	256.44	1021.56	884.94	802.96	847.1	557.03	107.2	35.73	23.12	0	1458.78	3512.42	905.96	699.96	441.42	191.28	277.46	10.51	7079.49
ERR2096634	7444.95	0	3.29	1401.48	4303.13	4.93	422.75	1023.15	6.58	6693.21	3653.39	1.64	4618.96	2434.49	16.45	4896.95	1437.67	809.3	1623.54	1.64	74.02	5135.47	0	87.18	8.22	643.17	4.93	582.3	2404.89	279.64	37404.03	1141.58	143.11	912.94	1192.57	1593.94	1.64	1.64	258.25	0	0	13985.18	3773.47	0	1014.92	29.61	2046.29	6.58	1085.65	2031.49	1677.83	2011.75	0	166.14	3822.81	0	19.74	77.31	654.68	0	2005.17	837.27	0	794.5	366.82	21.38	5581.24	0	580.66	3319.47	41.12	630.01	1200.8	759.96	72.38	1468.92	338.86	184.23	4836.09	1.64	144.75	17457.63	0	0	3.29	14.8	0	236.87	6.58	9535.65	1324.17	16.45	1199.15	162.85	26.32	582.3	2383.5	3.29	968.86	60.86	917.87	1432.73	268.12	37.83	2538.12	9451.76	95.41	46.06	7270.58	92.12	649.75	1549.52	164.49	1839.03	1075.78	651.39	1832.45	1028.08	172.72	52.64	26.32	14.8	806.01	2500.29	1018.21	1064.27	304.31	245.09	457.29	27.96	12341.9
ERR2096635	7462.64	0	1.72	1504.23	4340.58	5.16	454.37	965.53	5.16	6536.69	3671.08	3.44	4629.73	2576.47	8.61	5134.01	1409.57	786.54	1795.09	1.72	75.73	5319.88	0	75.73	8.61	643.69	5.16	578.29	2388.87	301.19	37705.6	1070.52	123.92	829.56	1285.65	1528.33	5.16	1.72	296.03	0	0	14061.29	3901.71	0	1055.03	30.98	1946.55	5.16	1084.29	2146.2	1817.47	1929.34	0	149.73	3869.01	0	20.65	65.4	683.27	1.72	2187.5	845.05	1.72	814.07	426.83	29.26	5464.45	0	500.84	3275.23	56.8	555.91	1218.53	833.01	48.19	1557.58	339.05	184.16	4714.06	3.44	122.2	17677.3	0	1.72	0	18.93	0	246.12	1.72	9536.55	1387.2	13.77	1187.55	154.9	25.82	569.68	2430.18	0	908.73	89.5	977.58	1518	258.16	17.21	2344.12	9638.09	77.45	75.73	7553.86	99.82	686.71	1598.89	165.22	1666.01	1063.63	695.32	1857.05	1010.28	191.04	49.91	24.1	6.88	850.22	2545.49	1017.16	1060.19	309.8	278.82	462.97	18.93	12200.79
ERR2096636	7637.97	0	3.05	1315.42	3481.37	0	492.33	667.62	9.15	7705.04	4017.9	0	4222.15	2243.68	10.67	4583.39	1377.91	938.93	1710.2	0	51.82	5693.04	0	67.07	18.29	704.2	4.57	548.73	2504.33	292.65	36737.26	1399.25	173.76	861.2	1155.37	2207.1	12.19	3.05	339.91	0	1.52	15100.66	4048.38	1.52	937.41	67.07	1954.08	3.05	1152.33	2130.89	2095.83	1986.09	0	134.13	3764.88	0	9.15	57.92	710.3	0	2086.69	850.53	1.52	760.6	382.58	32.01	5359.23	3.05	789.56	3062.2	36.58	652.38	1428.21	832.24	41.15	1659.9	298.75	196.63	4818.13	9.15	109.75	18655.19	0	0	0	0	0	224.06	3.05	11148.3	1379.44	4.57	1222.44	204.25	33.53	437.46	2420.49	0	839.86	80.78	1211.77	1352	281.98	25.91	2414.4	10127.06	166.14	111.27	7299.59	190.53	536.53	1687.33	170.71	1595.88	1019.72	719.44	1617.22	1013.62	160.05	96.03	3.05	3.05	998.38	2560.72	1149.28	1137.08	368.87	283.51	403.92	19.82	11968.34
ERR2096637	7537.78	0	4.78	1398.9	3682.06	1.59	484.36	742.47	11.15	7502.73	4131.36	3.19	4335.3	2206.69	9.56	4779.82	1429.17	952.78	1795.62	0	55.76	5949.29	0	97.19	12.75	752.03	6.37	622.97	2475.95	275.64	36471.65	1398.9	133.84	865.15	1158.31	2101.53	4.78	0	286.79	0	1.59	15362.35	4064.44	0	925.69	41.43	2047.36	1.59	1077.05	2147.73	2055.32	2093.56	0	205.53	4037.36	0	11.15	70.1	756.81	0	1985.22	877.89	0	818.94	431.78	57.36	5377.3	4.78	761.59	3098.92	39.83	543.31	1320.82	826.91	57.36	1620.36	286.79	184.82	4935.96	9.56	97.19	18534.56	0	0	0	1.59	0	203.94	11.15	11347.3	1367.03	9.56	1194.96	226.25	28.68	383.98	2526.93	0	889.05	73.29	1245.94	1309.67	235.8	22.31	2327.77	10134.82	165.7	78.07	7426.25	143.39	571.99	1825.89	195.97	1526.36	1049.97	769.55	1631.51	1002.17	156.14	94	1.59	0	908.17	2691.04	1156.72	1097.77	332.99	296.35	449.3	9.56	11951.15
ERR2096638	4919.4	0	4.3	352.92	1032.95	21.52	503.56	1381.56	21.52	16113.95	14689.35	55.95	7557.72	1613.98	21.52	31685.6	1545.11	1390.17	1463.34	8.61	309.88	13591.84	0	12.91	576.73	241.02	8.61	568.12	2646.92	86.08	3060.1	1398.78	90.38	839.27	1192.19	11909	0	8.61	38.74	0	684.33	15696.47	62217.75	12.91	2285.39	34.43	2285.39	68.86	1002.82	1966.9	352.92	1708.66	0	309.88	3430.24	0	25.82	275.45	1562.33	0	1140.54	494.95	8.61	3572.27	434.7	25.82	507.86	17.22	1945.38	1325.61	21.52	86.08	744.58	748.89	0	1454.73	25.82	245.32	7187.58	21.52	0	22066.3	348.62	81.77	38.74	12.91	47.34	430.39	8.61	21502.48	1428.91	4.3	1786.13	357.23	12.91	895.22	5125.99	8.61	908.13	12.91	550.9	843.57	206.59	25.82	852.18	8254.96	107.6	12.91	1613.98	103.29	2022.85	284.06	150.64	1721.58	951.17	933.95	985.6	245.32	654.2	202.29	25.82	4.3	938.26	2689.96	2728.7	1514.99	305.58	154.94	649.89	55.95	111.9
ERR2096639	4830.73	0	8.93	334.85	1120.62	22.32	562.54	1504.58	17.86	16438.78	14648.46	75.9	7121.09	1718.88	17.86	31685.5	1571.55	1339.39	1584.94	4.46	227.7	13701.96	4.46	4.46	428.6	223.23	8.93	602.73	2727.89	66.97	3093.99	1276.89	80.36	750.06	1147.41	11358.03	0	4.46	49.11	4.46	593.8	15996.78	62612.02	26.79	2232.32	53.58	2214.46	44.65	1067.05	1964.44	325.92	1705.49	0	339.31	3344.01	0	13.39	254.48	1428.68	0	1142.95	428.6	0	3402.05	424.14	35.72	504.5	17.86	2129.63	1473.33	4.46	80.36	834.89	852.74	8.93	1468.86	4.46	263.41	7406.83	8.93	8.93	21791.88	290.2	66.97	22.32	13.39	31.25	410.75	4.46	21421.31	1544.76	8.93	1776.92	290.2	17.86	995.61	5107.54	0	919.71	4.46	535.76	799.17	107.15	22.32	745.59	8491.73	102.69	8.93	1839.43	107.15	2196.6	325.92	151.8	1678.7	1013.47	1017.94	950.97	258.95	589.33	254.48	17.86	0	933.11	2616.28	2870.76	1522.44	308.06	116.08	620.58	35.72	169.66
ERR2096640	5450.77	0	4.35	383.12	888.14	8.71	565.97	1227.73	34.83	20018.09	17523.45	60.95	8089.08	1532.49	34.83	32944.08	1467.18	1497.66	1593.44	4.35	287.34	16861.69	0	13.06	526.79	204.62	4.35	500.67	3147.69	87.07	2873.41	1314.8	52.24	740.12	1101.47	12899.87	4.35	0	52.24	0	539.85	18873.08	82571.34	4.35	1841.59	21.77	2642.67	30.48	1136.3	1941.73	343.94	1885.13	0	296.05	3435.03	0	26.12	352.65	1401.88	0	1201.61	579.04	4.35	3156.4	383.12	47.89	417.95	17.41	1632.62	1266.91	30.48	43.54	613.86	922.97	13.06	1824.18	13.06	148.02	7806.1	0	21.77	26269.93	357	74.01	43.54	21.77	26.12	391.83	4.35	25595.11	1310.45	13.06	1859.01	378.77	8.71	840.25	6574.01	0	922.97	8.71	505.02	731.41	152.38	0	822.84	7832.22	117.55	4.35	1872.07	126.26	1754.52	322.17	235.1	1414.94	1114.53	1454.12	892.5	169.79	522.44	239.45	30.48	0	1053.58	3735.43	2620.9	2150.7	256.87	152.38	644.34	56.6	156.73
ERR2096641	5264.34	0	13.79	335.63	832.18	4.6	422.99	1406.89	9.2	19751.62	18459.67	27.59	8464.32	1645.97	41.38	33236.6	1526.43	1747.12	1462.06	13.79	271.26	17029.79	4.6	0	542.53	216.09	13.79	404.6	3287.34	114.94	2781.59	1264.36	68.97	721.84	1121.83	12776.94	0	18.39	50.57	0	556.32	19388.4	84059.32	27.59	1999.99	27.59	2809.18	22.99	1245.97	2087.35	331.03	1760.91	0	239.08	3287.34	0	22.99	252.87	1296.54	0	1075.86	625.28	0	3416.07	436.78	36.78	432.18	32.18	1632.18	1268.96	22.99	68.97	726.43	804.59	0	1678.15	4.6	252.87	7880.42	9.2	13.79	26399.86	280.46	68.97	32.18	41.38	22.99	395.4	9.2	26220.55	1370.11	22.99	2059.76	262.07	18.39	924.13	6349.39	9.2	809.19	13.79	450.57	827.58	133.33	9.2	685.05	7820.65	133.33	9.2	1852.86	128.73	1862.06	257.47	147.13	1434.48	1158.61	1457.46	868.96	243.68	675.86	128.73	18.39	4.6	882.75	3871.24	2524.12	2128.72	331.03	119.54	611.49	41.38	133.33
