Gene_ID	ZeamMp032	ZeamMp179	Zm00001d000002	Zm00001d000011	Zm00001d000053	Zm00001d000060	Zm00001d000061	Zm00001d000107	Zm00001d000116	Zm00001d000133	Zm00001d000153	Zm00001d000163	Zm00001d000164	Zm00001d000294	Zm00001d000316	Zm00001d000419	Zm00001d000452	Zm00001d001773	Zm00001d001831	Zm00001d001883	Zm00001d001908	Zm00001d001909	Zm00001d001924	Zm00001d001959	Zm00001d001960	Zm00001d001970	Zm00001d002003	Zm00001d002064	Zm00001d002100	Zm00001d002113	Zm00001d002147	Zm00001d002166	Zm00001d002188	Zm00001d002240	Zm00001d002250	Zm00001d002256	Zm00001d002266	Zm00001d002292	Zm00001d002326	Zm00001d002350	Zm00001d002351	Zm00001d002358	Zm00001d002370	Zm00001d002426	Zm00001d002434	Zm00001d002435	Zm00001d002436	Zm00001d002454	Zm00001d002499	Zm00001d002564	Zm00001d002592	Zm00001d002602	Zm00001d002613	Zm00001d002684	Zm00001d002694	Zm00001d002727	Zm00001d002755	Zm00001d002791	Zm00001d002853	Zm00001d002880	Zm00001d002940	Zm00001d002968	Zm00001d003015	Zm00001d003016	Zm00001d003051	Zm00001d003058	Zm00001d003059	Zm00001d003083	Zm00001d003085	Zm00001d003109	Zm00001d003129	Zm00001d003142	Zm00001d003144	Zm00001d003188	Zm00001d003190	Zm00001d003214	Zm00001d003247	Zm00001d003415	Zm00001d003429	Zm00001d003504	Zm00001d003512	Zm00001d003513	Zm00001d003522	Zm00001d003524	Zm00001d003533	Zm00001d003584	Zm00001d003630	Zm00001d003643	Zm00001d003658	Zm00001d004042	Zm00001d004075	Zm00001d004123	Zm00001d004452	Zm00001d004545	Zm00001d004564	Zm00001d004624	Zm00001d004626	Zm00001d004689	Zm00001d005598	Zm00001d005607	Zm00001d005687	Zm00001d005756	Zm00001d005818
ERR2096632	403.77	42.82	872.81	371.15	870.77	8.16	0	28.55	6472.63	497.58	1865.93	0	254.91	548.56	475.15	668.88	1144.03	242.67	2143.27	4531.25	324.24	650.53	222.28	899.32	462.91	8.16	1619.18	3007.92	2.04	581.19	140.71	5552.92	0	991.08	1107.32	3224.08	4965.61	3262.82	3413.73	2940.62	57.1	4957.45	2.04	3368.87	2.04	14.27	201.89	258.99	734.14	0	26.51	424.17	4.08	326.28	271.22	448.64	0	540.41	1054.3	2090.25	36.71	53.02	434.36	9019.67	2.04	205.97	1005.36	2349.23	242.67	420.09	297.73	0	0	44.86	62599.33	1788.44	8.16	297.73	2653.08	815.71	1441.76	6.12	8.16	199.85	1186.85	2557.24	224.32	658.68	167.22	605.66	360.95	1500.9	10.2	132.55	2357.39	10.2	167.22	30487.02	4.08	4.08	1462.15	1099.16	3878.68
ERR2096633	351.03	60.96	863.92	386.77	840.79	10.51	0	14.71	6417.36	502.37	2064.15	0	245.93	542.31	523.39	645.31	1166.6	216.5	2165.04	4344.8	338.42	685.25	252.24	916.47	468.74	21.02	1597.51	3068.9	6.31	559.13	126.12	5643.83	4.2	1082.52	1008.95	3272.79	4845.08	3457.77	3588.09	3005.84	65.16	4889.22	4.2	3281.2	2.1	35.73	214.4	231.22	733.59	0	31.53	414.09	2.1	285.87	296.38	493.97	0	565.43	1057.3	2114.6	27.33	65.16	475.05	8494.12	0	233.32	1025.77	2322.69	224.91	464.54	277.46	0	4.2	33.63	63900.35	1849.75	6.31	367.85	2701.05	813.47	1368.39	4.2	6.31	250.14	1219.15	2568.63	216.5	689.45	161.85	578.05	376.26	1530.25	0	119.81	2539.2	4.2	111.41	30506.11	6.31	2.1	1505.02	1158.19	3716.31
ERR2096634	75.67	9.87	671.13	511.57	830.69	11.51	0	13.16	7444.95	708.96	2592.41	0	386.56	916.23	544.47	460.58	1526.49	218.78	2419.69	6318.17	422.75	750.09	235.22	784.63	452.36	19.74	1972.27	2985.55	0	504.99	162.85	4232.4	0	1360.36	868.52	1906.47	4518.62	3600.75	5921.74	3380.33	46.06	4411.7	4.93	3837.62	6.58	24.67	450.71	360.24	947.48	4.93	31.25	422.75	4.93	333.92	376.69	457.29	0	653.04	1794.62	1962.4	34.54	74.02	606.98	9030.66	3.29	477.03	2148.28	2352.25	327.34	588.88	495.12	0	3.29	60.86	64370.98	1485.37	9.87	286.22	3579.36	1016.57	1335.68	4.93	6.58	276.35	1401.48	4303.13	399.72	1235.34	199.04	694.16	580.66	3199.39	3.29	80.6	3475.73	6.58	220.42	44408.13	3.29	8.22	1760.07	939.25	4896.95
ERR2096635	122.2	6.88	684.99	550.75	850.22	8.61	0	24.1	7462.64	664.34	2734.81	0	361.43	960.37	612.71	423.39	1574.8	237.51	2569.58	6450.64	459.53	722.86	277.1	783.1	450.93	12.05	1941.39	2992.97	3.44	547.31	153.18	4165.03	3.44	1302.86	955.2	1815.75	4856.91	3795	5889.56	3591.91	56.8	4404.26	5.16	3903.43	10.33	32.7	431.99	325.29	855.38	0	37.86	449.2	5.16	335.61	394.13	493.95	0	717.69	1925.9	2158.24	39.59	79.17	578.29	8782.71	8.61	444.04	2070.47	2524.84	323.56	641.97	426.83	0	1.72	61.96	64212.08	1452.6	1.72	273.65	3696.9	953.48	1316.63	6.88	1.72	292.58	1504.23	4340.58	392.41	1282.21	153.18	600.66	604.1	3149.59	8.61	82.61	3447.34	8.61	234.07	44445.38	1.72	6.88	1676.34	934.55	5134.01
ERR2096636	108.22	4.57	827.66	458.8	882.54	0	0	13.72	7637.97	638.66	2571.39	0	455.75	934.36	44.2	469.47	1411.45	243.88	2691.81	6295.12	384.11	624.94	254.55	830.71	574.64	24.39	2012	3162.8	0	617.32	189.01	4758.68	3.05	1341.33	1030.39	2508.9	5252.53	3970.65	5205.28	3385.34	51.82	4380.67	9.15	3792.31	3.05	18.29	349.05	344.48	955.7	0	41.15	449.65	6.1	320.09	358.2	478.61	0	707.25	1862.62	2028.76	28.96	91.45	856.62	14347.68	1.52	342.95	1882.44	2519.57	408.5	588.36	513.67	0	3.05	41.15	52362.25	1509	7.62	289.61	3705.43	1149.28	1266.64	0	7.62	268.27	1315.42	3481.37	364.29	1321.52	172.24	685.91	490.81	2885.39	0	99.08	3115.55	12.19	219.49	50254.23	0	0	1528.81	1076.11	4583.39
ERR2096637	119.5	9.56	793.45	546.49	836.47	0	0	17.53	7537.78	602.26	2533.31	0	430.18	954.37	54.17	449.3	1497.68	277.23	2627.31	6468.7	401.51	694.67	242.18	777.52	498.69	23.9	2079.22	3060.68	1.59	599.07	176.85	4660.33	0	1304.89	975.08	2579.51	5144.68	3868.47	5337.47	3365	31.87	4266.79	4.78	3943.35	1.59	25.49	342.55	371.23	960.74	1.59	35.05	468.42	3.19	329.81	371.23	535.34	0	638.9	1827.49	2096.75	54.17	70.1	967.12	14118.01	3.19	336.18	1856.16	2507.81	380.79	592.7	503.47	0	4.78	46.2	52985.94	1609.21	6.37	259.7	3830.23	1040.41	1204.52	0	19.12	289.98	1398.9	3682.06	388.76	1261.87	186.41	693.07	501.88	2981.02	0	90.82	3106.89	11.15	226.25	50962.48	0	6.37	1610.8	1065.9	4779.82
ERR2096638	344.32	12.91	1424.6	598.25	804.84	4.3	0	0	4919.4	2410.21	1179.28	4.3	21.52	150.64	172.16	236.72	1657.02	73.17	1889.43	4355.59	378.75	408.87	25.82	3421.63	202.29	34.43	1777.53	1936.77	8.61	796.23	232.41	3778.86	0	370.14	1196.5	309.88	2078.8	4342.68	19621.66	21.52	21.52	1751.7	4.3	378.75	12.91	4.3	34.43	12.91	1170.67	4.3	68.86	378.75	0	348.62	602.55	327.1	17.22	1170.67	2918.07	1601.07	73.17	43.04	21.52	6085.77	8.61	550.9	348.62	2096.02	12.91	804.84	1536.51	0	4.3	0	197.98	1601.07	266.84	654.2	21.52	783.32	314.19	0	219.5	86.08	352.92	1032.95	357.23	1334.22	167.85	279.76	486.35	2164.88	8.61	176.46	1162.06	4.3	47.34	116.21	17.22	25.82	740.28	1454.73	31685.6
ERR2096639	459.86	4.46	1558.16	575.94	723.27	0	0	8.93	4830.73	2326.07	1142.95	4.46	4.46	214.3	187.51	236.63	1647.45	66.97	1937.65	4330.69	415.21	366.1	22.32	3486.88	316.99	26.79	1607.27	1879.61	8.93	843.82	334.85	3643.14	8.93	366.1	1160.8	267.88	1942.12	4294.98	20104.24	17.86	17.86	1343.85	0	473.25	8.93	0	49.11	22.32	1026.87	4.46	62.5	468.79	4.46	348.24	549.15	370.56	13.39	1223.31	3058.27	1656.38	71.43	26.79	26.79	5911.17	0	584.87	482.18	2312.68	22.32	982.22	1567.09	0	8.93	0	209.84	1446.54	258.95	660.77	31.25	861.67	223.23	0	191.98	107.15	334.85	1120.62	388.42	1370.64	151.8	321.45	428.6	2089.45	8.93	156.26	1116.16	31.25	22.32	107.15	22.32	8.93	781.31	1451.01	31685.5
ERR2096640	330.88	21.77	2594.78	618.22	927.33	0	4.35	13.06	5450.77	2259.54	1345.28	0	4.35	56.6	169.79	526.79	1872.07	95.78	2037.51	4497.32	378.77	500.67	21.77	3169.46	208.98	26.12	2333.56	1785	0	1005.69	226.39	5085.06	4.35	417.95	2229.07	226.39	2625.25	4423.31	21541.86	13.06	21.77	1580.38	0	400.54	8.71	4.35	30.48	26.12	914.27	0	17.41	352.65	8.71	352.65	544.21	365.71	30.48	1288.68	3121.57	1428	47.89	34.83	13.06	6473.88	8.71	478.9	370.06	2011.39	8.71	922.97	1406.23	0	4.35	0	169.79	1693.57	296.05	592.1	4.35	788.01	243.8	8.71	195.91	69.66	383.12	888.14	322.17	1062.29	165.44	326.52	417.95	1737.11	8.71	182.85	1293.03	13.06	26.12	60.95	8.71	17.41	1079.71	1771.94	32944.08
ERR2096641	317.24	22.99	2583.89	602.3	919.54	0	0	4.6	5264.34	2344.82	1273.56	9.2	4.6	151.72	197.7	441.38	1862.06	91.95	2151.71	4620.67	395.4	491.95	4.6	3098.83	193.1	22.99	2257.46	1829.88	4.6	1020.68	202.3	5126.41	0	386.2	2344.82	386.2	2652.86	4666.64	21986.09	13.79	45.98	1356.31	4.6	409.19	9.2	4.6	27.59	50.57	970.11	0	64.37	377.01	4.6	427.58	579.31	390.8	32.18	1245.97	3181.59	1452.87	64.37	18.39	27.59	6510.31	13.79	560.92	312.64	2165.51	13.79	891.95	1489.65	0	13.79	0	216.09	1664.36	193.1	606.89	18.39	818.39	303.45	0	183.91	78.16	335.63	832.18	395.4	1144.82	137.93	271.26	427.58	1563.21	9.2	234.48	1503.44	18.39	32.18	36.78	0	9.2	965.51	1645.97	33236.6
