Gene_ID	Zm00001d002476
ERR2096632	0
ERR2096633	0
ERR2096634	1.64
ERR2096635	0
ERR2096636	0
ERR2096637	0
ERR2096638	8.61
ERR2096639	13.39
ERR2096640	0
ERR2096641	13.79
ERR2096642	2.54
ERR2096643	18.47
ERR2096644	58.7
ERR2096645	72.66
ERR2096646	24.63
ERR2096647	33.92
ERR2096648	78.95
ERR2096649	30.62
ERR2096650	26.17
ERR2096651	27.52
ERR2096652	29.33
ERR2096653	21.14
ERR2096654	93.37
ERR2096655	77.57
ERR2096656	101.01
ERR2096657	161.41
ERR2096658	149.23
ERR2096659	136.25
ERR2096660	132.72
ERR2096661	116.43
ERR2096662	13.52
ERR2096663	16.76
ERR2096664	32.11
ERR2096665	32.55
ERR2096666	16.88
ERR2096667	12.11
ERR712351	0
ERR712354	0
ERR712365	2.62
ERR986083	0
ERR986084	2.93
ERR986085	0
ERR986086	0
ERR986087	0
ERR986088	0
ERR986089	0
ERR986090	5.44
ERR986091	170.74
ERR986092	202.85
ERR986093	0
